register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
"﻿92086000123,Teatre Grec,,,1989-07-04T00:00:00+02:00,2022-09-25T13:32:18.631877+02:00,,,316809,Pg Santa Madrona,36,,11,el Poble-sec,03,Sants-Montjuïc,08038,BARCELONA,True,,159005,20006,Telèfons,Informació,933161000,True,,55732068,Teatres,""Planol BCN >> Cultura i lleure >> Cinemes, teatres, auditoris >> Teatres"",651,0065103002001000,429622.02648506215,4579965.193371069,41.36812384413011,2.158482875531215"
"﻿92086011921,Parc de la Ciutadella,,,1988-07-13T00:00:00+02:00,2022-09-21T13:15:08.240859+02:00,,,201400,Passeig de Picasso,21,,04,""Sant Pere, Santa Caterina i la Ribera"",01,Ciutat Vella,08003,Barcelona,True,,163786,20001,Telèfons,Tel.,010,True,,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,0065103002006000,431890.6660134717,4581965.649308547,41.38633657544665,2.185381778970792"
"﻿92086011921,Parc de la Ciutadella,,,1988-07-13T00:00:00+02:00,2022-09-21T13:15:08.240859+02:00,,,201400,Passeig de Picasso,21,,04,""Sant Pere, Santa Caterina i la Ribera"",01,Ciutat Vella,08003,Barcelona,True,,163786,20001,Telèfons,Tel.,010,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,431890.6660134717,4581965.649308547,41.38633657544665,2.185381778970792"
﻿92086011925,Jardins d'Aclimatació de Montjuïc,,,1985-04-01T00:00:00+02:00,2022-08-25T13:23:00.640744+02:00,,,116402,Av Estadi,42,,11,el Poble-sec,03,Sants-Montjuïc,08038,BARCELONA,True,,163788,20001,Telèfons,Tel.,010,True,,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,0065103002006000,429158.3870412853,4579744.284431306,41.366093518468645,2.1529654736615242
﻿92086011925,Jardins d'Aclimatació de Montjuïc,,,1985-04-01T00:00:00+02:00,2022-08-25T13:23:00.640744+02:00,,,116402,Av Estadi,42,,11,el Poble-sec,03,Sants-Montjuïc,08038,BARCELONA,True,,163788,20001,Telèfons,Tel.,010,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,429158.3870412853,4579744.284431306,41.366093518468645,2.1529654736615242
﻿95109153319,Portal Casa Miralles,,,1995-04-19T00:00:00+02:00,2021-09-09T02:13:56.608729+02:00,,,193108,Pg Manuel Girona,55,,23,Sarrià,05,Sarrià-Sant Gervasi,08034,BARCELONA,True,,,,,,,,,,,,,,427057.51484623505,4582654.09258305,41.392113370981676,2.1274984374334376
﻿99400224638,Museu de Pintura Contemporània Can Framis,92262113901,Fundació Privada Vila Casas,2009-04-24T00:00:00+02:00,2022-09-12T14:44:27.548567+02:00,,,181608,Carrer de Roc Boronat,116,,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,08018,Barcelona,True,,221863,20001,Telèfons,Tel.,933208736,True,,55731069,Museus,Planol BCN >> Cultura i lleure >> Biblioteques i museus >> Museus,651,0065103002000001,432709.05569079,4583801.91555834,41.40294420265117,2.1949651108093025
﻿99400247031,Centre Esportiu Municipal Putxet,,,2010-05-12T17:55:35+02:00,2021-06-08T10:14:22.933494+02:00,,,198101,C Marmellà,23,,27,el Putxet i el Farró,05,Sarrià-Sant Gervasi,08023,BARCELONA,True,,223542,20001,Telèfons,Tel.,931151990,True,,57732077,Altres esports,Planol BCN >> Esports >> Esports individuals >> Altres esports,651,0065103004001009,428230.39803281566,4584598.12887321,41.40972803896787,2.1412958877792825
﻿99400247031,Centre Esportiu Municipal Putxet,,,2010-05-12T17:55:35+02:00,2021-06-08T10:14:22.933494+02:00,,,198101,C Marmellà,23,,27,el Putxet i el Farró,05,Sarrià-Sant Gervasi,08023,BARCELONA,True,,223542,20001,Telèfons,Tel.,931151990,True,,57732071,Fitness,Planol BCN >> Esports >> Esports individuals >> Fitness,651,0065103004001003,428230.39803281566,4584598.12887321,41.40972803896787,2.1412958877792825
﻿99400247031,Centre Esportiu Municipal Putxet,,,2010-05-12T17:55:35+02:00,2021-06-08T10:14:22.933494+02:00,,,198101,C Marmellà,23,,27,el Putxet i el Farró,05,Sarrià-Sant Gervasi,08023,BARCELONA,True,,223542,20001,Telèfons,Tel.,931151990,True,,57732073,Natació,Planol BCN >> Esports >> Esports individuals >> Natació,651,0065103004001005,428230.39803281566,4584598.12887321,41.40972803896787,2.1412958877792825
﻿99400247031,Centre Esportiu Municipal Putxet,,,2010-05-12T17:55:35+02:00,2021-06-08T10:14:22.933494+02:00,,,198101,C Marmellà,23,,27,el Putxet i el Farró,05,Sarrià-Sant Gervasi,08023,BARCELONA,True,,223542,20001,Telèfons,Tel.,931151990,True,,57345754,Instal·lacions esportives,Planol BCN >> Esports >> Instal·lacions esportives,651,0065102004002,428230.39803281566,4584598.12887321,41.40972803896787,2.1412958877792825
﻿99400247031,Centre Esportiu Municipal Putxet,,,2010-05-12T17:55:35+02:00,2021-06-08T10:14:22.933494+02:00,,,198101,C Marmellà,23,,27,el Putxet i el Farró,05,Sarrià-Sant Gervasi,08023,BARCELONA,True,,223542,20001,Telèfons,Tel.,931151990,True,,57733068,Instal·lacions esportives municipals,Planol BCN >> Esports >> Instal·lacions esportives >> Instal·lacions esportives municipals,651,0065103004002000,428230.39803281566,4584598.12887321,41.40972803896787,2.1412958877792825
﻿99400247031,Centre Esportiu Municipal Putxet,,,2010-05-12T17:55:35+02:00,2021-06-08T10:14:22.933494+02:00,,,198101,C Marmellà,23,,27,el Putxet i el Farró,05,Sarrià-Sant Gervasi,08023,BARCELONA,True,,223542,20001,Telèfons,Tel.,931151990,True,,66731068,WiFi BCN,Planol BCN >> Internet >> Punts d'accés a Internet >> WiFi BCN,651,0065103013000000,428230.39803281566,4584598.12887321,41.40972803896787,2.1412958877792825
﻿92086000857,Parròquia de la Mare de Déu de la Mercè i Sant Miquel Arcàngel - Basílica,,,1984-05-30T00:00:00+02:00,2021-09-01T13:22:50.857309+02:00,,,209401,Pl Mercè,1,,02,el Barri Gòtic,01,Ciutat Vella,08002,BARCELONA,True,,159936,20001,Telèfons,Tel.,933152756,True,,59731075,Esglésies catòliques,Planol BCN >> Llocs de culte >> Llocs de culte >> Esglésies catòliques,651,0065103006000007,431398.33895484527,4581202.933652775,41.379425179886205,2.1795802549065177
